source,reference,hypothesis
කොච්චර බලාපොරොත්තු කඩ වෙලා උන්නත්... වරදකාරීබව හැමවෙලාවෙම... ...මට මතක් කරලා දෙනවා ඇත්ත.,"And no matter what I do, no matter how hopeless I am no matter how confused, that guilt is always there reminding me of the truth.",No matter how desperate the guilt always reminds me of the truth.
මොකක්ද ප්‍රශ්නේ ඩැනි?,"What's the matter, Danny?","What's the matter, Danny?"
ठाडो र तेर्सो अलंकृत गर्नुहोस्,Emboss Horizontal & & Vertical,Decorate Vertical and Horizontal
මම පුරුදු වෙලා තියෙන්නේ..,My work and my nature is such that..,I'm used to..
එත් මං කරනවා.,But I will.,But I do.
තත්වය නම් හරිම දුෂ්කරයි.,The conditions are pretty lousy.,The situation is very difficult.
"කොළ, නිල්, ඔයා ගාව තියෙනවද?","Chems. Greens, blues. Do you have them here?","Green, blue, do you have any?"
"මට අවසර දෙන්න,රයිම් මහත්මයා.","Excuse me, Mr. Rhyme.","Allow me, Mr. Reim."
පියතුමනි මේක හොද වෙලාවක් නම් නෙවයි.,"Father, I'm afraid it's not a very good time.","Father, this is not a good time."
"මම ඔයා ගැන ආඩම්බරයි, ලමයෝ.","I am proud of you, kid.","I'm proud of you, kid."
ඔයාගේ උමං මාර්ග පරීක්ෂාවලින් මොනාද ලැබුනේ?,Where did you get to with the tunnel searches?,What do you get from your tunnel tests?
මම හිතනවා...,"Um, I hope...",I think...
අපි වෙන් උනා,We were separated.,We broke up.
ඔහු මා සඳහා ඉතිරි කර ගිය එකම දේ එක විදිහක පෙට්ටියක් විතරයි.,All he left for me was some kind of box.,The only thing he left for me was a box of some kind.
තාවකාලිකව අරක්ෂක ස්තානයක∙,Dug out this temporary shelter.,Temporarily in custody.
ඉන්න මං ඔප්පු කරන්නම්,"You don't believe me, right?","Wait, I'll prove it."
උබට මගෝ දේවල් ගැන බලන්න ඕනෙද?,You want to get into my business?,You want to take care of my stuff?
මගේ අත අල්ලා ගන්න!,Hold my hand!,Hold my hand!
"නෑ,නෑ, නෑ නෑ, නෑ, නවත්වන්න, නවත්වන්න!","No, no, no, don't. Stop.","No, no, no, no, no, stop, stop!"
...ඔයාට ලක්ෂගානක බලපත්‍ර තිබනෙවා... ...ඔබ ටනේඩර් වලට එකතු වනෙවා... ....,To meet out few people's jealousy you spend lakhs of ruppees in obtaining license and participate in tenders how do you manage all the troubles?,...you have millions of licenses... ..and you join the Tanner...
මම මාව හදුන්වා නොදී අත්වැරැද්දක් කරේ,I made the mistake of failing to introduce myself.,I made a mistake. I didn't recognize myself.
"තාත්තේ, ඔයා සැලසුම් කල විදිහටම කලා","Dad, you've done as planned","Dad, you did exactly as planned."
"මගේ මහන්සියේ පළවෙනි ප්‍රතිඵලේ, රු 5000ක්.",My first hard earned money. 5000 rupees.,"The first result of my efforts, 5000 rupees."
පින්ක්‍රිස්ට් වලට සල්ලි දීලා ලෝරිට පිස්සු කියල කියන්න.,They PAID Pinecrest to keep Laurie out of their hair.,Give Pinkrist money and tell Lori she's crazy.
"ඉන්න, නවත්වන්න.","Wait, hold on.","Wait, stop."
ඒත් ඊට වඩා පැහැදිලිව කියැවුනා ඒ කවුරු වෙන්න පුළුවන්ද කියන එක.,But it was more specific than that.,But it made it even clearer who it might be.
केही प्रतिमा र अन्यका लागि उत्प्रेरणा,Some icons and inspiration for others,Motivation for some icons and others
සම්බන්ධතාවය වැඩ.,Link's running.,Connection working.
- හරි බලන්නකො∙,- Just try it.,"- Okay, look."
ලේසි නැහැ කරන්න ගියාම.,Easy's got nothing to do with it.,It's not easy when you're gone.
चेतावनी: तपाईँ निश्चित हुनुहुन्छ?,WARNING: Are you sure?,Warning: Are you sure?
අනික නාන්න සැප පහසු වතුර මල් එහෙමත් තියෙනවා... ඒවා ඔය කරපු වැරදි ටික වහාම හෝදලා දායි.,"And we got those deluxe showerheads-- oh, it'll wash that guilt right off.",And there are water flowers that are convenient to bathe in... that will wash away all your mistakes immediately.
ඔහු ඒ වගේ මාව බලන්න ඔබ සතුටු වන්නේ ඇයි?,"I mean, not really. You look like a sad Gollum.",Why are you so happy to see him like that?
ඒ කැමරාත් වැටිලා තියෙන්නේ.,"Those cameras were down, too.",The camera's down.
මේක කාබන්ඩේල් එකක්.,Made from the same steel as the Titanic.,This is a carbondale.
"මට පුලුවන් ඒක දාලා බලන්න, ඔයා කැමති නම්.","I can look into it, if you'd like.","I can put it on, if you like."
"ඔයා ඒකට කැමතිද, කින්ග්?","Would you like that, King?","Do you like it, King?"
නැත්නම් හරියට මොකක්හරි දේකට ටිකට් ලැබෙනවා වගේ...,"Or, like, getting tickets to something. - Or finding about a new band. - Flash mobs.",Or like getting a ticket to something...
මම කියපු විදියට කරනවා!,Do what I say.,Do as I say!
පස්සට ගන්න!,"Reverse it, reverse it!",Back off!
රාගය ලගින්වත් යන්නේ නැහැ.,Not nearly enough sex.,It's not even close to passion.
प्राकितिक लग [N],Natural log [n],Predictive Log [N]
හරියටම මෙන්න ඔහු.,Right over him.,There he is.
"- ටාෂා, මං හිතුවෙ අපි මගේ කාර්යාලයේදි මුණගැහෙන්නෙ කියල.",I thought we were meeting in my office.,"- Tasha, I thought I'd meet you in my office."
यन्त्रको वस्तुस्थिति,_Device Status,Device status
खुम्चिने सञ्झ्याल तेर्सो गरी प्याक गर्नुहोस्,Keep Window on All Desktops,Pack compressed windows horizontally
एरोरा स्टेट विमानस्थल,Aurora State Airport,Aurora State Airport
- එහෙනං අපි යං...,- So let's go.,- Then let's go...
उपलब्ध केडीई संसाधन प्रकार,Available KDE resource types,Available KDE resource type
ඒක අනිවාර්යයි..,It's inevitable.,That's for sure.
XDG अनुप्रयोग मेनु (. desktop files),XDG Application menu (. desktop files),XDG Application Menu (. desktop files)
ඔයා මාත් එක්කද ?,Are you with me?,Are you with me?
CMY स्तरहरू,CMY Levels,CMY Levels
"මම හිතන්නේ නෑ, අපි තවමත් කාළ යන්ත්‍රයකින් ෙසායන්න පටන්ගත යුතුයි කියලා",I don't think we should start looking for time machines just yet.,I don't think we should start searching with a time machine.
